날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref,income_type,rule_id
2026-06-11,10:03,지출,교육/학습,학원/강의,메가스터디,-85600,KRW,카카오페이 간편결제,어학원 등록,P0001,P0001-T0375,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00023;efinance/전금-004-카카오페이_머니.json#WP000100006,,triangular:학원/강의
2026-06-10,18:34,지출,식비,한식,가수원동감자탕,-3400,KRW,네이버페이 간편결제,부모님 모시고 외식,P0001,P0001-T0341,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00028;efinance/전금-004-네이버페이_머니.json#WP000100012,,calib:요식/한식
2026-06-10,18:07,지출,카페/간식,커피/음료,커피빈,-1300,KRW,토스 간편결제,,P0001,P0001-T0355,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00033,,calib:요식/카페
2026-06-10,13:12,지출,카페/간식,커피/음료,정림동로스터리,-2800,KRW,토스 간편결제,,P0001,P0001-T0362,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00035,,calib:요식/카페
2026-06-10,08:08,지출,식비,한식,관저동김치찌개,-5300,KRW,신한 Deep Dream 체크,,P0001,P0001-T0351,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000148;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000148,,calib:요식/한식
2026-06-09,18:53,지출,식비,한식,둔산동국밥,-1700,KRW,신한 Deep Dream 체크,친구랑 오랜만에,P0001,P0001-T0340,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000145;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000145,,calib:요식/한식
2026-06-09,16:22,수입,금융수입,캐시백,어피치 스윗 체크카드 포인트리워드,443,KRW,하나핀크 생활통장,,P0001,P0001-T0327,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100112,캐시백,income:캐시백
2026-06-09,08:00,지출,교통,택시,정림동개인택시,-900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0393,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000168;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000168,,calib:교통/택시
2026-06-08,21:03,지출,식비,배달,갈마동초밥배달,-1100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0372,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000157;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000157,,calib:요식/배달
2026-06-08,11:42,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-12000,KRW,하나핀크 생활통장,,P0001,P0001-T0332,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100116;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100028,,savings:정기
2026-06-08,10:42,지출,온라인쇼핑,인터넷쇼핑,다나와,-25373,KRW,신한 Deep Dream 체크,,P0001,P0001-T0408,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000176;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000176,,calib:온라인쇼핑/인터넷쇼핑
2026-06-08,09:45,수입,금융수입,캐시백,주유 할인 캐시백,687,KRW,하나핀크 생활통장,,P0001,P0001-T0326,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100111,캐시백,income:캐시백
2026-06-08,08:38,지출,식비,한식,월평동한정식,-3500,KRW,네이버페이 간편결제,,P0001,P0001-T0343,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00029;efinance/전금-004-네이버페이_머니.json#WP000100013,,calib:요식/한식
2026-06-07,22:44,지출,생활,편의점,GS25 탄방동점,-11200,KRW,하나핀크 생활통장,현금 인출 대신 결제,P0001,P0001-T0413,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100133,,calib:생활/편의점
2026-06-07,22:03,지출,문화/여가,도서,반디앤루니스,-42600,KRW,네이버페이 간편결제,,P0001,P0001-T0378,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00037,,triangular:도서
2026-06-06,18:37,지출,교통,택시,티맵 택시,-1100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0387,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000166;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000166,,calib:교통/택시
2026-06-06,11:39,지출,교육/학습,학원/강의,에듀윌,-73600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0382,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000162;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000162,,triangular:학원/강의
2026-06-06,10:19,수입,금융수입,캐시백,OTT 제휴 캐시백,458,KRW,하나핀크 생활통장,,P0001,P0001-T0325,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100110,캐시백,income:캐시백
2026-06-05,18:09,지출,생활,편의점,GS25 탄방동점,-24700,KRW,토스 간편결제,,P0001,P0001-T0410,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00040,,calib:생활/편의점
2026-06-05,17:42,수입,기타수입,용돈,보호자 용돈이체,500000,KRW,하나핀크 생활통장,,P0001,P0001-T0322,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100107,용돈,income:용돈
2026-06-05,11:42,지출,카페/간식,커피/음료,도마동카페,-1200,KRW,네이버페이 간편결제,,P0001,P0001-T0360,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00033;efinance/전금-004-네이버페이_머니.json#WP000100014,,calib:요식/카페
2026-06-04,20:39,지출,온라인쇼핑,인터넷쇼핑,알리익스프레스,-13800,KRW,신한 Deep Dream 체크,,P0001,P0001-T0400,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000173;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000173,,calib:온라인쇼핑/인터넷쇼핑
2026-06-04,08:09,지출,교통,택시,가수원동개인택시,-1100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0394,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000169;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000169,,calib:교통/택시
2026-06-03,19:07,지출,교통,택시,탄방동콜택시,-4000,KRW,하나핀크 생활통장,,P0001,P0001-T0389,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100125,,calib:교통/택시
2026-06-03,18:36,지출,카페/간식,커피/음료,이디야커피,-2900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0358,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000150;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000150,,calib:요식/카페
2026-06-03,18:31,수입,금융수입,캐시백,신한 Deep Dream 체크 적립포인트,875,KRW,하나핀크 생활통장,,P0001,P0001-T0324,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100109,캐시백,income:캐시백
2026-06-03,09:21,지출,식비,한식,갈마동비빔밥,-1600,KRW,카카오페이 간편결제,,P0001,P0001-T0345,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00019;efinance/전금-004-카카오페이_머니.json#WP000100005,,calib:요식/한식
2026-06-02,23:44,지출,교육/학습,학원/강의,패스트캠퍼스,-47400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0376,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000160;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000160,,triangular:학원/강의
2026-06-02,20:55,지출,식비,한식,정림동곱창,-2300,KRW,토스 간편결제,,P0001,P0001-T0342,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00031,,calib:요식/한식
2026-06-01,22:37,지출,온라인쇼핑,인터넷쇼핑,발란,-67200,KRW,하나핀크 생활통장,장바구니 정리하다가,P0001,P0001-T0402,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100129,,calib:온라인쇼핑/인터넷쇼핑
2026-06-01,14:55,지출,생활,편의점,세븐일레븐,-14200,KRW,신한 Deep Dream 체크,,P0001,P0001-T0414,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000179;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000179,,calib:생활/편의점
2026-06-01,13:41,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-12000,KRW,하나핀크 생활통장,,P0001,P0001-T0331,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100115;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100027,,savings:정기
2026-06-01,08:08,지출,교통,택시,관저동개인택시,-2442,KRW,신한 Deep Dream 체크,막차 놓쳐서,P0001,P0001-T0399,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000172;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000172,,calib:교통/택시
2026-05-31,16:10,지출,생활,편의점,이마트24,-45300,KRW,하나핀크 생활통장,,P0001,P0001-T0316,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100106,,calib:생활/편의점
2026-05-29,10:31,지출,온라인쇼핑,인터넷쇼핑,펀샵,-37148,KRW,신한 Deep Dream 체크,,P0001,P0001-T0315,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000138;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000138,,calib:온라인쇼핑/인터넷쇼핑
2026-05-29,09:18,지출,교통,택시,정림동개인택시,-4900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0310,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000136;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000136,,calib:교통/택시
2026-05-28,21:37,지출,온라인쇼핑,인터넷쇼핑,롯데온,-14100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0314,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000137;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000137,,calib:온라인쇼핑/인터넷쇼핑
2026-05-28,15:29,이체,저축,예적금/청약,비상금 이체,-30000,KRW,하나핀크 생활통장,자동이체 저축,P0001,P0001-T0293,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100100;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100026,,savings:비상금
2026-05-28,11:39,지출,패션/쇼핑,패션,슈마커,-50800,KRW,네이버페이 간편결제,친구 결혼식 하객룩,P0001,P0001-T0294,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00023;efinance/전금-004-네이버페이_머니.json#WP000100010,,triangular:패션
2026-05-28,07:04,지출,교통,택시,월평동개인택시,-1200,KRW,토스 간편결제,,P0001,P0001-T0308,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00029,,calib:교통/택시
2026-05-27,17:16,지출,패션/쇼핑,패션,둔산동편집숍,-74600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0302,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000133;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000133,,triangular:패션
2026-05-27,07:43,지출,교통,택시,카카오T 택시,-4600,KRW,하나핀크 생활통장,,P0001,P0001-T0311,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100105,,calib:교통/택시
2026-05-26,16:29,지출,교육/학습,학원/강의,클래스101,-100200,KRW,신한 Deep Dream 체크,,P0001,P0001-T0296,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000131;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000131,,triangular:학원/강의
2026-05-25,20:37,지출,생활,통신,월평동알뜰폰샵,-20000,KRW,하나핀크 생활통장,데이터 추가 결제,P0001,P0001-T0287,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100095,,fixed:통신
2026-05-25,10:28,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-15000,KRW,하나핀크 생활통장,,P0001,P0001-T0292,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100099;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100025,,savings:정기
2026-05-25,09:56,지출,주거,월세/관리비,탄방동 아파트 관리비,-230000,KRW,하나핀크 생활통장,,P0001,P0001-T0286,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100094,,fixed:월세관리비
2026-05-23,10:20,지출,교육/학습,학원/강의,도마동음악학원,-49600,KRW,하나핀크 생활통장,,P0001,P0001-T0297,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100101,,triangular:학원/강의
2026-05-22,13:37,지출,생활,편의점,미니스톱,-42700,KRW,신한 Deep Dream 체크,공과금 납부,P0001,P0001-T0317,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000139;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000139,,calib:생활/편의점
2026-05-21,21:11,지출,패션/쇼핑,패션,갈마동편집숍,-36500,KRW,하나핀크 생활통장,,P0001,P0001-T0301,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100102,,triangular:패션
2026-05-20,15:10,지출,문화/여가,도서,알라딘,-18600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0303,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000134;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000134,,triangular:도서
2026-05-19,16:48,지출,교육/학습,학원/강의,메가스터디,-58900,KRW,토스 간편결제,,P0001,P0001-T0300,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00028,,triangular:학원/강의
2026-05-18,12:19,수입,근로소득,알바비,㈜가온헬스케어 용역비 지급,620000,KRW,하나핀크 생활통장,,P0001,P0001-T0283,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100091,알바비,income:알바비
2026-05-18,10:11,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-15000,KRW,하나핀크 생활통장,,P0001,P0001-T0291,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100098;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100024,,savings:정기
2026-05-15,21:25,지출,생활,편의점,GS25 도마동점,-36400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0318,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000140;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000140,,calib:생활/편의점
2026-05-15,13:21,지출,교육/학습,학원/강의,월평동논술학원,-88700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0295,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000130;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000130,,triangular:학원/강의
2026-05-13,16:50,지출,교육/학습,학원/강의,탄방동태권도학원,-71900,KRW,네이버페이 간편결제,어학원 등록,P0001,P0001-T0304,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00024;efinance/전금-004-네이버페이_머니.json#WP000100011,,triangular:학원/강의
2026-05-13,09:16,지출,교통,택시,둔산동개인택시,-1700,KRW,네이버페이 간편결제,,P0001,P0001-T0305,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00025,,calib:교통/택시
2026-05-13,08:04,지출,생활,서비스구독,멜론,-4900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0288,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000129;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000129,,fixed:구독
2026-05-12,20:46,지출,패션/쇼핑,패션,도마동빈티지샵,-79200,KRW,신한 Deep Dream 체크,,P0001,P0001-T0298,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000132;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000132,,triangular:패션
2026-05-12,16:23,지출,생활,편의점,CU 탄방동점,-41300,KRW,신한 Deep Dream 체크,,P0001,P0001-T0319,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000141;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000141,,calib:생활/편의점
2026-05-11,13:11,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-15000,KRW,하나핀크 생활통장,,P0001,P0001-T0290,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100097;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100023,,savings:정기
2026-05-09,23:10,지출,온라인쇼핑,인터넷쇼핑,오늘의집 스토어,-16300,KRW,카카오페이 간편결제,,P0001,P0001-T0313,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00017,,calib:온라인쇼핑/인터넷쇼핑
2026-05-09,07:41,지출,교통,택시,탄방동개인택시,-4952,KRW,네이버페이 간편결제,,P0001,P0001-T0312,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00026,,calib:교통/택시
2026-05-08,23:49,지출,교통,택시,갈마동개인택시,-3500,KRW,신한 Deep Dream 체크,,P0001,P0001-T0307,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000135;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000135,,calib:교통/택시
2026-05-08,19:13,지출,교통,택시,관저동개인택시,-1900,KRW,하나핀크 생활통장,비 와서 택시,P0001,P0001-T0306,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100103,,calib:교통/택시
2026-05-07,17:56,수입,금융수입,캐시백,토스뱅크 체크카드 캐시백,636,KRW,하나핀크 생활통장,,P0001,P0001-T0285,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100093,캐시백,income:캐시백
2026-05-07,10:30,수입,금융수입,캐시백,신한 Deep Dream 체크 캐시백,193,KRW,하나핀크 생활통장,,P0001,P0001-T0284,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100092,캐시백,income:캐시백
2026-05-05,18:19,지출,뷰티/미용,화장품,클리오,-41700,KRW,토스 간편결제,,P0001,P0001-T0299,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00027,,triangular:화장품
2026-05-05,17:58,수입,기타수입,용돈,가족 지원금,500000,KRW,하나핀크 생활통장,설문조사 참여비,P0001,P0001-T0282,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100090,용돈,income:용돈
2026-05-05,07:09,지출,교통,택시,반반택시,-3200,KRW,하나핀크 생활통장,,P0001,P0001-T0309,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100104,,calib:교통/택시
2026-05-04,09:49,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-15000,KRW,하나핀크 생활통장,,P0001,P0001-T0289,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100096;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100022,,savings:정기
2026-05-03,21:07,지출,생활,편의점,이마트24,-14500,KRW,신한 Deep Dream 체크,,P0001,P0001-T0320,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000142;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000142,,calib:생활/편의점
2026-05-01,20:38,지출,생활,편의점,CU 도마동점,-30568,KRW,네이버페이 간편결제,,P0001,P0001-T0321,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00027,,calib:생활/편의점
2026-04-30,17:50,지출,생활,편의점,CU 정림동점,-3100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0265,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000118;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000118,,calib:생활/편의점
2026-04-30,10:46,지출,생활,편의점,GS25,-1000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0271,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000124;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000124,,calib:생활/편의점
2026-04-29,17:23,지출,문화/여가,도서,도마동북카페,-21000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0238,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000104;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000104,,triangular:도서
2026-04-29,12:59,지출,생활,마트,갈마동청과마트,-9900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0260,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000113;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000113,,calib:생활/마트
2026-04-28,19:05,지출,교통,택시,정림동콜택시,-3070,KRW,토스 간편결제,,P0001,P0001-T0253,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00023,,calib:교통/택시
2026-04-28,11:12,이체,저축,예적금/청약,비상금 이체,-30000,KRW,하나핀크 생활통장,연말정산용 청약저축,P0001,P0001-T0233,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100080;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100021,,savings:비상금
2026-04-27,19:09,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-15000,KRW,하나핀크 생활통장,,P0001,P0001-T0232,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100079;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100020,,savings:정기
2026-04-27,17:53,지출,교육/학습,학원/강의,정림동보습학원,-99000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0241,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000105;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000105,,triangular:학원/강의
2026-04-27,15:08,지출,생활,편의점,CU 월평동점,-1300,KRW,신한 Deep Dream 체크,,P0001,P0001-T0274,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000125;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000125,,calib:생활/편의점
2026-04-27,12:23,지출,의료/건강,약국,정림동행복약국,-12869,KRW,신한 Deep Dream 체크,,P0001,P0001-T0281,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000128;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000128,,calib:의료/건강/약국
2026-04-27,09:23,지출,생활,마트,월평동청과마트,-12000,KRW,신한 Deep Dream 체크,일주일치 장보기,P0001,P0001-T0263,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000116;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000116,,calib:생활/마트
2026-04-25,22:15,지출,생활,편의점,미니스톱,-2076,KRW,네이버페이 간편결제,,P0001,P0001-T0279,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00022;efinance/전금-004-네이버페이_머니.json#WP000100009,,calib:생활/편의점
2026-04-25,17:25,지출,생활,통신,월평동알뜰폰샵,-20000,KRW,하나핀크 생활통장,,P0001,P0001-T0227,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100075,,fixed:통신
2026-04-25,11:42,지출,패션/쇼핑,패션,무신사 스토어,-47600,KRW,하나핀크 생활통장,친구 결혼식 하객룩,P0001,P0001-T0235,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100082,,triangular:패션
2026-04-25,09:00,지출,주거,월세/관리비,탄방동 아파트 관리비,-230000,KRW,하나핀크 생활통장,,P0001,P0001-T0226,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100074,,fixed:월세관리비
2026-04-24,21:50,지출,문화/여가,도서,정림동북카페,-21700,KRW,네이버페이 간편결제,독서모임 선정도서,P0001,P0001-T0243,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00019,,triangular:도서
2026-04-24,07:04,지출,교통,택시,월평동개인택시,-1800,KRW,토스 간편결제,,P0001,P0001-T0247,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00022,,calib:교통/택시
2026-04-23,23:01,지출,생활,편의점,CU 둔산동점,-700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0266,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000119;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000119,,calib:생활/편의점
2026-04-23,18:39,지출,생활,편의점,GS25 탄방동점,-3500,KRW,네이버페이 간편결제,,P0001,P0001-T0272,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00021;efinance/전금-004-네이버페이_머니.json#WP000100008,,calib:생활/편의점
2026-04-21,22:12,지출,교통,택시,둔산동콜택시,-2700,KRW,하나핀크 생활통장,,P0001,P0001-T0246,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100085,,calib:교통/택시
2026-04-21,18:09,지출,생활,편의점,CU 가수원동점,-3400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0268,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000121;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000121,,calib:생활/편의점
